name,event,mark,performance_date,year,acad_year,current_class,class_at_mark,gender,transfer,school
RAYDRIAN BALTRIP,60,7.15,"Feb 27-28, 2026",2026,2026,FR,FR,M,No,ABILENE CHRISTIAN
MARK BARAJAS,5000,15:05.60,"May 14-16, 2026",2026,2026,SO,SO,M,No,ABILENE CHRISTIAN
MARK BARAJAS,3000S,9:08.02,"May 14-16, 2026",2026,2026,SO,SO,M,No,ABILENE CHRISTIAN
MARK BARAJAS,3000S,9:27.14,"Apr 24-25, 2026",2026,2026,SO,SO,M,No,ABILENE CHRISTIAN
MARK BARAJAS,5000,15:15.31,"Apr 17-18, 2026",2026,2026,SO,SO,M,No,ABILENE CHRISTIAN
MARK BARAJAS,3000S,9:27.42,"Apr  1- 4, 2026",2026,2026,SO,SO,M,No,ABILENE CHRISTIAN
MARK BARAJAS,3000S,9:37.64,"Mar 20-21, 2026",2026,2026,SO,SO,M,No,ABILENE CHRISTIAN
MARK BARAJAS,3000,8:37.51,"Feb 27-28, 2026",2026,2026,SO,SO,M,No,ABILENE CHRISTIAN
MARK BARAJAS,5000,14:47.58,"Feb 27-28, 2026",2026,2026,SO,SO,M,No,ABILENE CHRISTIAN
MARK BARAJAS,3000,8:24.71,"Feb  6- 7, 2026",2026,2026,SO,SO,M,No,ABILENE CHRISTIAN
MARK BARAJAS,3000,8:25.85,"Jan 16-17, 2026",2026,2026,SO,SO,M,No,ABILENE CHRISTIAN
MARK BARAJAS,3000,8:19.52,"Dec  6, 2025",2025,2026,SO,SO,M,No,ABILENE CHRISTIAN
MARK BARAJAS,4.97M,25:16.1,"Oct 31, 2025",2025,2026,SO,SO,M,No,ABILENE CHRISTIAN
MARK BARAJAS,8k,24:38.2,"Oct 17, 2025",2025,2026,SO,SO,M,No,ABILENE CHRISTIAN
MARK BARAJAS,8k,26:08.7,"Oct  4, 2025",2025,2026,SO,SO,M,No,ABILENE CHRISTIAN
MARK BARAJAS,3.12M,15:22.7,"Sep  5, 2025",2025,2026,SO,SO,M,No,ABILENE CHRISTIAN
MARK BARAJAS,3.73M,18:46.5,"Aug 29, 2025",2025,2026,SO,SO,M,No,ABILENE CHRISTIAN
MARK BARAJAS,5000,15:46.45,"May 15-17, 2025",2025,2025,SO,FR,M,No,ABILENE CHRISTIAN
MARK BARAJAS,3000S,9:19.38,"May 15-17, 2025",2025,2025,SO,FR,M,No,ABILENE CHRISTIAN
MARK BARAJAS,1500,3:55.38,"May  2- 3, 2025",2025,2025,SO,FR,M,No,ABILENE CHRISTIAN
MARK BARAJAS,1500,3:59.07,"Apr 25-26, 2025",2025,2025,SO,FR,M,No,ABILENE CHRISTIAN
MARK BARAJAS,3000S,9:35.95,"Apr 18-19, 2025",2025,2025,SO,FR,M,No,ABILENE CHRISTIAN
MARK BARAJAS,5000,15:29.11,"Apr 11-12, 2025",2025,2025,SO,FR,M,No,ABILENE CHRISTIAN
MARK BARAJAS,3000S,9:23.44,"Mar 26-29, 2025",2025,2025,SO,FR,M,No,ABILENE CHRISTIAN
MARK BARAJAS,3000S,9:46.81,"Mar 21-22, 2025",2025,2025,SO,FR,M,No,ABILENE CHRISTIAN
MARK BARAJAS,3000,8:43.49,"Mar  1, 2025",2025,2025,SO,FR,M,No,ABILENE CHRISTIAN
MARK BARAJAS,DMR,10:13.28,"Mar  1, 2025",2025,2025,SO,FR,M,No,ABILENE CHRISTIAN
MARK BARAJAS,Mile,4:18.90,"Feb 14-15, 2025",2025,2025,SO,FR,M,No,ABILENE CHRISTIAN
MARK BARAJAS,3000,8:43.55,"Feb  1, 2025",2025,2025,SO,FR,M,No,ABILENE CHRISTIAN
MARK BARAJAS,Mile,4:19.28,"Jan 24, 2025",2025,2025,SO,FR,M,No,ABILENE CHRISTIAN
